=== YOLOv8l Baseline Measurement ===
Parameters: conf=0.25, iou=0.7, imgsz=640
[SampleVideo-Scene-122.mp4] - Detections: 1
[SampleVideo-Scene-123.mp4] - Detections: 1
[SampleVideo-Scene-124.mp4] - Detections: 1
[SampleVideo-Scene-125.mp4] - Detections: 2
[SampleVideo-Scene-126.mp4] - Detections: 1
[SampleVideo-Scene-127.mp4] - Detections: 1
[SampleVideo-Scene-128.mp4] - Detections: 1
[SampleVideo-Scene-129.mp4] - Detections: 5
[SampleVideo-Scene-130.mp4] - Detections: 3
[SampleVideo-Scene-131.mp4] - Detections: 1
[SampleVideo-Scene-132.mp4] - Detections: 4
[SampleVideo-Scene-133.mp4] - Detections: 1
[SampleVideo-Scene-134.mp4] - Detections: 1
[SampleVideo-Scene-135.mp4] - Detections: 2
[SampleVideo-Scene-136.mp4] - Detections: 1
[SampleVideo-Scene-137.mp4] - Detections: 4
[SampleVideo-Scene-138.mp4] - Detections: 11
[SampleVideo-Scene-139.mp4] - Detections: 6
[SampleVideo-Scene-140.mp4] - Detections: 27
[SampleVideo-Scene-141.mp4] - Detections: 7
[SampleVideo-Scene-142.mp4] - Detections: 6
[SampleVideo-Scene-143.mp4] - Detections: 10
[SampleVideo-Scene-144.mp4] - Detections: 6
[SampleVideo-Scene-145.mp4] - Detections: 3
[SampleVideo-Scene-146.mp4] - Detections: 6
[SampleVideo-Scene-147.mp4] - Detections: 7
[SampleVideo-Scene-148.mp4] - Detections: 4
[SampleVideo-Scene-149.mp4] - Detections: 7
[SampleVideo-Scene-150.mp4] - Detections: 6
[SampleVideo-Scene-151.mp4] - Detections: 6
[SampleVideo-Scene-152.mp4] - Detections: 10
[SampleVideo-Scene-153.mp4] - Detections: 11
[SampleVideo-Scene-154.mp4] - Detections: 3
[SampleVideo-Scene-155.mp4] - Detections: 3
[SampleVideo-Scene-156.mp4] - Detections: 6
[SampleVideo-Scene-157.mp4] - Detections: 7
[SampleVideo-Scene-158.mp4] - Detections: 4
[SampleVideo-Scene-159.mp4] - Detections: 2
[SampleVideo-Scene-160.mp4] - Detections: 18
[SampleVideo-Scene-161.mp4] - Detections: 5
[SampleVideo-Scene-162.mp4] - Detections: 2
[SampleVideo-Scene-163.mp4] - Detections: 0
[SampleVideo-Scene-164.mp4] - Detections: 0
[SampleVideo-Scene-165.mp4] - Detections: 4
[SampleVideo-Scene-166.mp4] - Detections: 2
[SampleVideo-Scene-167.mp4] - Detections: 5
[SampleVideo-Scene-168.mp4] - Detections: 5
[SampleVideo-Scene-169.mp4] - Detections: 5
[SampleVideo-Scene-170.mp4] - Detections: 9
[SampleVideo-Scene-171.mp4] - Detections: 4
[SampleVideo-Scene-172.mp4] - Detections: 3
[SampleVideo-Scene-173.mp4] - Detections: 0
[SampleVideo-Scene-174.mp4] - Detections: 4
[SampleVideo-Scene-175.mp4] - Detections: 2
[SampleVideo-Scene-176.mp4] - Detections: 0
[SampleVideo-Scene-177.mp4] - Detections: 1
[SampleVideo-Scene-178.mp4] - Detections: 3
[SampleVideo-Scene-179.mp4] - Detections: 8
[SampleVideo-Scene-180.mp4] - Detections: 1
[SampleVideo-Scene-181.mp4] - Detections: 2
[SampleVideo-Scene-182.mp4] - Detections: 0
[SampleVideo-Scene-183.mp4] - Detections: 1
[SampleVideo-Scene-184.mp4] - Detections: 6
[SampleVideo-Scene-185.mp4] - Detections: 2
[SampleVideo-Scene-186.mp4] - Detections: 1
[SampleVideo-Scene-187.mp4] - Detections: 4
[SampleVideo-Scene-188.mp4] - Detections: 1
[SampleVideo-Scene-189.mp4] - Detections: 2
[SampleVideo-Scene-190.mp4] - Detections: 1
[SampleVideo-Scene-191.mp4] - Detections: 2
[SampleVideo-Scene-192.mp4] - Detections: 6
[SampleVideo-Scene-193.mp4] - Detections: 0
[SampleVideo-Scene-194.mp4] - Detections: 0
[SampleVideo-Scene-195.mp4] - Detections: 0
[SampleVideo-Scene-196.mp4] - Detections: 0
[SampleVideo-Scene-197.mp4] - Detections: 0
[SampleVideo-Scene-198.mp4] - Detections: 3
[SampleVideo-Scene-199.mp4] - Detections: 0
[SampleVideo-Scene-200.mp4] - Detections: 3
[SampleVideo-Scene-201.mp4] - Detections: 5
[SampleVideo-Scene-202.mp4] - Detections: 4
